=Below Budget,=Above Budget,Address Number,Amount for P&L (% of Gross Sales),Amount for P&L (Margins),Amount for P&L,Amount2,Amount,Amount_%,Amount_Size,Amount_label,Amount in 000s,Selected Category,Calculation2,Gross Margin M,Inventory Turns,Inventory Units,Profit Margin,Selected Year (start),Sales Quantity,Distinct Orders,Inventory Value in 1000,New YYYYMM,Selected Metric Biz Mix,Net Margin Calc Field,=Space,Performance Eval Legend,Inventory Value,Selected Metric (sort),Amount Minus,Category (Margins),Category (group) 1,Category (group),Category Color,Category,Channel,Channel_Filter,CostPrice*StockOH,CostPrice,Customer - Product Desc,Customer - Product Segmentation,Customer Segment (group),Customer,Distribution Channel Mgr,Gross Profit M,SG&A,Indirect Expenses,"Taxes, Interest",COGS,Gross Sales and Profit Amount,Gross Sales Amount,Inventory Value (copy 2),Inventory Value (step1),Customer Location,Operating Income M,Profit M,Net Sales,Operating Margin M,OrderID,Product Category (group),Product Category,Product,Product Type Desc,Region,Region_Filter,Sales Price (weighted avg),SegmentDesc+Region,Customer Segment,Selected Metric Value,Selected Metric Unit,Selected Year (end),StockOH,ThroughputQty,YYYYMM,Year Filter,Year To Date Filter,title_Target,title_COGS,title_Indirect_Expenses,title_Portfolio_Average,title_Margin,title_from_Gross_Sales,title_Selected_Metric
Below Budget,Above Budget,20019286,"$5,681","$5,681","$5,681",,"$5,681",,,,5.68101,Deli,1,,18.007373272,542.5,,1/1/2012,,1,41.294235,8/1/2013 12:00:00 AM,5.68101,, ,Above Budget,"$41,294",,-5.68101,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,41294.235,$194,Deli Meats,Deli,S Markets,David Spencer Ltd.,JL,,,,,,,,"$105,283","$105,283",Flint,,,5.68101,,28643,Deli,Deli,Deli Meats,Meat,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,542.5,9769,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,40038572,"$1,454","$1,454","$1,454",,"$1,454",,,,1.45376,Deli,1,,9.945833333,240,,1/1/2012,,1,30.07193,8/1/2013 12:00:00 AM,1.45376,, ,Above Budget,"$30,072",,-1.45376,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,30071.93,$667,Hot Dogs,Deli,S Markets,David Spencer Ltd.,JL,,,,,,,,"$160,018","$160,018",Flint,,,1.45376,,59092,Deli,Deli,Hot Dogs,Meat,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,240,2387,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10007564,($41),($41),($41),,($41),,,,-0.04065,Eggs,1,,2,81.5,,1/1/2012,,1,1.94948,8/1/2013 12:00:00 AM,-0.04065,, ,Above Budget,"$1,949",,0.04065,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1949.48,$24,Eggs,Eggs,S Markets,CAM Group,JL,,,,,,,,"$1,949","$1,949",Cleveland,,,-0.04065,,14034,Other,Eggs,Eggs,Eggs,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,81.5,163,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10007564,$43,$43,$43,,$43,,,,0.04341,Frozen Foods,1,,6.019801980,50.5,,1/1/2012,,1,0.332795,8/1/2013 12:00:00 AM,0.04341,, ,Above Budget,$333,,-0.04341,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,332.795,$7,Pancakes,Frozen Foods,S Markets,CAM Group,JL,,,,,,,,$333,$333,Cleveland,,,0.04341,,14878,Other,Frozen Foods,Pancakes,Breakfast Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,50.5,304,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10009643,$151,$151,$151,,$151,,,,0.15103,Frozen Foods,1,,6.001926782,519,,1/1/2012,,1,6.03597,8/1/2013 12:00:00 AM,0.15103,, ,Above Budget,"$6,036",,-0.15103,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,6035.97,$12,Waffles,Frozen Foods,S Markets,David Spencer Ltd.,JL,,,,,,,,"$6,036","$6,036",Flint,,,0.15103,,14273,Other,Frozen Foods,Waffles,Breakfast Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,519,3115,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10007564,($6),($6),($6),,($6),,,,-0.00569,Frozen Foods,1,,2,5420.5,,1/1/2012,,1,0.10841,8/1/2013 12:00:00 AM,-0.00569,, ,Above Budget,$108,,0.00569,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,108.41,$0,Ice Cream,Frozen Foods,S Markets,CAM Group,JL,,,,,,,,$108,$108,Cleveland,,,-0.00569,,14045,Other,Frozen Foods,Ice Cream,Frozen Desserts,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,5420.5,10841,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,30028929,"$1,170","$1,170","$1,170",,"$1,170",,,,1.17035,Frozen Foods,1,,3.469990766,1083,,1/1/2012,,1,34.35144,8/1/2013 12:00:00 AM,1.17035,, ,Above Budget,"$34,351",,-1.17035,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,34351.44,$296,Ice Cream,Frozen Foods,S Markets,David Spencer Ltd.,JL,,,,,,,,"$320,351","$320,351",Flint,,,1.17035,,44358,Other,Frozen Foods,Ice Cream,Frozen Desserts,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,1083,3758,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10009643,$121,$121,$121,,$121,,,,0.1207,Frozen Foods,1,,2,586,,1/1/2012,,1,5.49082,8/1/2013 12:00:00 AM,0.1207,, ,Above Budget,"$5,491",,-0.1207,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,5490.82,$9,TV Dinner,Frozen Foods,S Markets,David Spencer Ltd.,JL,,,,,,,,"$5,491","$5,491",Flint,,,0.1207,,15160,Other,Frozen Foods,TV Dinner,Frozen Entrees,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,586,1172,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10007564,"$5,151","$5,151","$5,151",,"$5,151",,,,5.15137,Frozen Foods,1,,21.987951807,415,,1/1/2012,,1,42.07685,8/1/2013 12:00:00 AM,5.15137,, ,Above Budget,"$42,077",,-5.15137,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,42076.85,$101,Pizza,Frozen Foods,S Markets,CAM Group,JL,,,,,,,,"$42,077","$42,077",Cleveland,,,5.15137,,15402,Other,Frozen Foods,Pizza,Pizza,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,415,9125,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20019286,"$1,693","$1,693","$1,693",,"$1,693",,,,1.6926,Frozen Foods,1,,21.987951807,830,,1/1/2012,,1,84.1537,8/1/2013 12:00:00 AM,1.6926,, ,Above Budget,"$84,154",,-1.6926,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,84153.7,$203,Pizza,Frozen Foods,S Markets,David Spencer Ltd.,JL,,,,,,,,"$168,307","$168,307",Flint,,,1.6926,,29435,Other,Frozen Foods,Pizza,Pizza,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,830,18250,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10024541,$62,$62,$62,,$62,,,,0.06161,Frozen Foods,1,,23,3,,1/1/2012,,1,0.12414,8/1/2013 12:00:00 AM,0.06161,, ,Above Budget,$124,,-0.06161,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,124.14,$41,French Fries,Frozen Foods,S Markets,Southern Company,JL,,,,,,,,$124,$124,Bedford,,,0.06161,,15803,Other,Frozen Foods,French Fries,Vegetables,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,3,69,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20015128,$52,$52,$52,,$52,,,,0.05181,Frozen Foods,1,,2.921052632,228,,1/1/2012,,1,1.12386,8/1/2013 12:00:00 AM,0.05181,, ,Above Budget,"$1,124",,-0.05181,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1123.86,$39,French Fries,Frozen Foods,S Markets,CAM Group,JL,,,,,,,,"$8,808","$8,808",Cleveland,,,0.05181,,30629,Other,Frozen Foods,French Fries,Vegetables,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,228,666,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10009643,$16,$16,$16,,$16,,,,0.01639,Frozen Foods,1,,18.002793296,1432,,1/1/2012,,1,15.36536,8/1/2013 12:00:00 AM,0.01639,, ,Above Budget,"$15,365",,-0.01639,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,15365.36,$11,Frozen Vegetables,Frozen Foods,S Markets,David Spencer Ltd.,JL,,,,,,,,"$15,365","$15,365",Flint,,,0.01639,,14286,Other,Frozen Foods,Frozen Vegetables,Vegetables,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,1432,25780,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20015128,"$1,186","$1,186","$1,186",,"$1,186",,,,1.18635,Produce,1,,16.202702703,148,,1/1/2012,,1,7.36266,8/1/2013 12:00:00 AM,1.18635,, ,Above Budget,"$7,363",,-1.18635,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,7362.66,$113,Fresh Fruit,Produce,S Markets,CAM Group,JL,,,,,,,,"$16,659","$16,659",Cleveland,,,1.18635,,28922,Produce,Produce,Fresh Fruit,Fruit,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,148,2398,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,60057858,$813,$813,$813,,$813,,,,0.81262,Produce,1,,14.181150551,408.5,,1/1/2012,,1,24.997455,8/1/2013 12:00:00 AM,0.81262,, ,Above Budget,"$24,997",,-0.81262,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,24997.455,$379,Fresh Fruit,Produce,S Markets,David Spencer Ltd.,JL,,,,,,,,"$155,018","$155,018",Flint,,,0.81262,,89091,Produce,Produce,Fresh Fruit,Fruit,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,408.5,5793,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10009643,$117,$117,$117,,$117,,,,0.11709,Produce,1,,21.991150442,113,,1/1/2012,,1,1.06898,8/1/2013 12:00:00 AM,0.11709,, ,Above Budget,"$1,069",,-0.11709,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1068.98,$9,Tofu,Produce,S Markets,David Spencer Ltd.,JL,,,,,,,,"$1,069","$1,069",Flint,,,0.11709,,14385,Produce,Produce,Tofu,Packaged Vegetables,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,113,2485,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20019286,$118,$118,$118,,$118,,,,0.11754,Produce,1,,8.542986425,110.5,,1/1/2012,,1,2.46615,8/1/2013 12:00:00 AM,0.11754,, ,Above Budget,"$2,466",,-0.11754,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2466.15,$44,Nuts,Produce,S Markets,David Spencer Ltd.,JL,,,,,,,,"$4,910","$4,910",Flint,,,0.11754,,28524,Produce,Produce,Nuts,Specialty,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,110.5,944,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20015128,($805),($805),($805),,($805),,,,-0.80539,Produce,1,,13.1,10,,1/1/2012,,1,0.27475,8/1/2013 12:00:00 AM,-0.80539,, ,Above Budget,$275,,0.80539,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,274.75,$55,Fresh Vegetables,Produce,S Markets,CAM Group,JL,,,,,,,,$550,$550,Cleveland,,,-0.80539,,28096,Produce,Produce,Fresh Vegetables,Vegetables,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,10,131,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,150144645,"$10,003","$10,003","$10,003",,"$10,003",,,,10.00329,Produce,1,,15.677642460,3325.5,,1/1/2012,,1,81.82898,8/1/2013 12:00:00 AM,10.00329,, ,Above Budget,"$81,829",,-10.00329,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,81828.98,$687,Fresh Vegetables,Produce,S Markets,David Spencer Ltd.,JL,,,,,,,,"$2,284,685","$2,284,685",Flint,,,10.00329,,216872,Produce,Produce,Fresh Vegetables,Vegetables,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,3325.5,52136,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,30022692,$855,$855,$855,,$855,,,,0.85534,Snack Foods,1,,19.644761905,1050,,1/1/2012,,1,46.26356,8/1/2013 12:00:00 AM,0.85534,, ,Above Budget,"$46,264",,-0.85534,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,46263.56,$117,Chips,Snack Foods,S Markets,CAM Group,JL,,,,,,,,"$122,955","$122,955",Cleveland,,,0.85534,,43772,Other,Snack Foods,Chips,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,1050,20627,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10009643,$95,$95,$95,,$95,,,,0.09519,Snack Foods,1,,10.001700680,588,,1/1/2012,,1,5.79768,8/1/2013 12:00:00 AM,0.09519,, ,Above Budget,"$5,798",,-0.09519,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,5797.68,$10,Chips,Snack Foods,S Markets,David Spencer Ltd.,JL,,,,,,,,"$5,798","$5,798",Flint,,,0.09519,,14266,Other,Snack Foods,Chips,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,588,5881,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,30022692,$308,$308,$308,,$308,,,,0.30759,Snack Foods,1,,2.478806907,637,,1/1/2012,,1,17.83772,8/1/2013 12:00:00 AM,0.30759,, ,Above Budget,"$17,838",,-0.30759,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,17837.72,$203,Cookies,Snack Foods,S Markets,CAM Group,JL,,,,,,,,"$129,623","$129,623",Cleveland,,,0.30759,,44176,Other,Snack Foods,Cookies,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,637,1579,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10007564,($99),($99),($99),,($99),,,,-0.09852,Snack Foods,1,,14.02,50,,1/1/2012,,1,0.015,8/1/2013 12:00:00 AM,-0.09852,, ,Above Budget,$15,,0.09852,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,15,$0,Crackers,Snack Foods,S Markets,CAM Group,JL,,,,,,,,$15,$15,Cleveland,,,-0.09852,,14048,Other,Snack Foods,Crackers,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,50,701,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20015128,($68),($68),($68),,($68),,,,-0.06813,Snack Foods,1,,4.810126582,79,,1/1/2012,,1,1.4358,8/1/2013 12:00:00 AM,-0.06813,, ,Above Budget,"$1,436",,0.06813,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1435.8,$24,Dips,Snack Foods,S Markets,CAM Group,JL,,,,,,,,"$1,920","$1,920",Cleveland,,,-0.06813,,28103,Other,Snack Foods,Dips,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,79,380,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10009643,$95,$95,$95,,$95,,,,0.09531,Snack Foods,1,,,0,,1/1/2012,,1,,8/1/2013 12:00:00 AM,0.09531,, ,Above Budget,,,-0.09531,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,0,$72,Dips,Snack Foods,S Markets,David Spencer Ltd.,JL,,,,,,,,,$0,Flint,,,0.09531,,14475,Other,Snack Foods,Dips,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,0,749,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,30022692,($60),($60),($60),,($60),,,,-0.06035,Snack Foods,1,,67.676056338,71,,1/1/2012,,1,0.88104,8/1/2013 12:00:00 AM,-0.06035,, ,Above Budget,$881,,0.06035,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,881.04,$51,Dried Fruit,Snack Foods,S Markets,CAM Group,JL,,,,,,,,"$3,651","$3,651",Cleveland,,,-0.06035,,42976,Other,Snack Foods,Dried Fruit,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,71,4805,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,30028929,$42,$42,$42,,$42,,,,0.04172,Snack Foods,1,,163.756097561,61.5,,1/1/2012,,1,0.25539,8/1/2013 12:00:00 AM,0.04172,, ,Above Budget,$255,,-0.04172,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,255.39,$35,Dried Fruit,Snack Foods,S Markets,David Spencer Ltd.,JL,,,,,,,,"$2,178","$2,178",Flint,,,0.04172,,43714,Other,Snack Foods,Dried Fruit,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,61.5,10071,8/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10023275,$14,$14,$14,,$14,,,,0.01402,Alcoholic Beverages,1,,6.018181818,55,,1/1/2012,,1,0.10285,7/1/2013 12:00:00 AM,0.01402,, ,Above Budget,$103,,-0.01402,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,102.85,$2,Wine,Alcoholic Beverages,S Markets,RFI Corporation,JL,,,,,,,,$103,$103,Portland,,,0.01402,,13211,Beverages,Alcoholic Beverages,Wine,Beer and Wine,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,55,331,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,40093100,$337,$337,$337,,$337,,,,0.33657,Baked Goods,1,,6.380664653,165.5,,1/1/2012,,1,1.208265,7/1/2013 12:00:00 AM,0.33657,, ,Above Budget,"$1,208",,-0.33657,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1208.265,$45,Sliced Bread,Baked Goods,S Markets,RFI Corporation,JL,,,,,,,,"$7,489","$7,489",Portland,,,0.33657,,51795,Baking,Baked Goods,Sliced Bread,Bread,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,165.5,1056,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20046550,$318,$318,$318,,$318,,,,0.31773,Baking Goods,1,,5.983471074,121,,1/1/2012,,1,2.07757,7/1/2013 12:00:00 AM,0.31773,, ,Above Budget,"$2,078",,-0.31773,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2077.57,$34,Sauces,Baking Goods,S Markets,RFI Corporation,JL,,,,,,,,"$4,155","$4,155",Portland,,,0.31773,,26457,Baking,Baking Goods,Sauces,Baking Goods,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,121,724,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10023275,$996,$996,$996,,$996,,,,0.99646,Baking Goods,1,,2,64.5,,1/1/2012,,1,13.572735,7/1/2013 12:00:00 AM,0.99646,, ,Above Budget,"$13,573",,-0.99646,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,13572.735,$210,Jelly,Baking Goods,S Markets,RFI Corporation,JL,,,,,,,,"$13,573","$13,573",Portland,,,0.99646,,13176,Baking,Baking Goods,Jelly,Jams and Jellies,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,64.5,129,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,60139650,"$5,012","$5,012","$5,012",,"$5,012",,,,5.01217,Baking Goods,1,,2.553989362,376,,1/1/2012,,1,40.99494,7/1/2013 12:00:00 AM,5.01217,, ,Above Budget,"$40,995",,-5.01217,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,40994.94,$678,Peanut Butter,Baking Goods,S Markets,RFI Corporation,JL,,,,,,,,"$255,071","$255,071",Portland,,,5.01217,,78920,Baking,Baking Goods,Peanut Butter,Jams and Jellies,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,376,960.3,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,40093100,"$56,045","$56,045","$56,045",,"$56,045",,,,56.04516,Baking Goods,1,,329.142857143,14,,1/1/2012,,1,2.94756,7/1/2013 12:00:00 AM,56.04516,, ,Above Budget,"$2,948",,-56.04516,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2947.56,$842,Preserves,Baking Goods,S Markets,RFI Corporation,JL,,,,,,,,"$11,790","$11,790",Portland,,,56.04516,,52694,Baking,Baking Goods,Preserves,Jams and Jellies,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,14,4608,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,110256025,"$52,060","$52,060","$52,060",,"$52,060",,,,52.0601,Beverages,1,,2.772241408,6081,,1/1/2012,,1,39.242785,7/1/2013 12:00:00 AM,52.0601,, ,Above Budget,"$39,243",,-52.0601,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,39242.785,"$1,234",Soda,Beverages,S Markets,RFI Corporation,JL,,,,,,,,"$7,501,096","$7,501,096",Portland,,,52.0601,,145845,Beverages,Beverages,Soda,Carbonated Beverages,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,6081,16858,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20046550,"$2,464","$2,464","$2,464",,"$2,464",,,,2.46409,Beverages,1,,2,160,,1/1/2012,,1,62.768,7/1/2013 12:00:00 AM,2.46409,, ,Above Budget,"$62,768",,-2.46409,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,62768,$785,Flavored Drinks,Beverages,S Markets,RFI Corporation,JL,,,,,,,,"$125,536","$125,536",Portland,,,2.46409,,26355,Beverages,Beverages,Flavored Drinks,Drinks,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,160,320,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10023275,$431,$431,$431,,$431,,,,0.43147,Beverages,1,,30.002663116,751,,1/1/2012,,1,65.42712,7/1/2013 12:00:00 AM,0.43147,, ,Above Budget,"$65,427",,-0.43147,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,65427.12,$87,Coffee,Beverages,S Markets,RFI Corporation,JL,,,,,,,,"$65,427","$65,427",Portland,,,0.43147,,13214,Beverages,Beverages,Coffee,Hot Beverages,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,751,22532,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,70162925,"$7,547","$7,547","$7,547",,"$7,547",,,,7.54654,Beverages,1,,14.478260870,184,,1/1/2012,,1,23.02766,7/1/2013 12:00:00 AM,7.54654,, ,Above Budget,"$23,028",,-7.54654,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,23027.66,"$1,221",Juice,Beverages,S Markets,RFI Corporation,JL,,,,,,,,"$224,699","$224,699",Portland,,,7.54654,,92962,Beverages,Beverages,Juice,Pure Juice Beverages,Americas,True,,Supermarkets-Americas,Markets,,%,1/1/2013 12:00:00 AM,184,2664,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
